,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,13017.0,128.7391127583906,82.15511162421355,206.79126615530788,146.4036793039755,2018.5372824054716,105,165.05172082661136,226
2,151.5,13.888692920047486,-47.12731683615278,23.20002326843431,11.221485491045055,85.11269837220809,105,139.85313531353134,190
3,3.0,1.9544100476116797,90.00003218077504,2.23606797749979,1.632993161855452,5.0,106,112.16666666666667,121
4,99199.0,355.39286655500473,11.25012301196315,491.4450849245363,424.37405309501446,9379.386376133609,105,162.98961179044144,232
5,33.25,6.506551687525748,-89.35898502411979,15.262350480402466,2.986846019014465,31.449747468305834,105,149.1578947368421,197
6,97.75,11.156126814350138,72.82668669543607,15.831764709214687,9.211187076417513,44.435028842544405,105,153.68030690537086,191
7,31.75,6.358093703724522,89.25835479467794,13.535620443283799,3.237333254710187,28.36396103067893,107,143.56692913385828,178
8,4710.0,77.44003006005754,-77.75805350551545,94.79056098787748,67.98349928232373,410.80003589374985,105,161.41178343949045,222
9,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,105,120.33333333333333,129
10,3.0,1.9544100476116797,90.00003218077504,2.23606797749979,1.632993161855452,5.0,109,121.0,133
11,13.25,4.1073621666150775,33.404356363347894,4.334946281269021,3.9809956264947246,12.82842712474619,105,115.45283018867924,132
12,4.5,2.393653682408596,18.43495541459913,3.559026084010437,1.6329931618554518,7.414213562373096,107,117.33333333333333,125
13,36.0,6.770275002573076,18.871401917548756,11.652349600649444,4.983726017631045,28.727922061357855,105,120.94444444444444,143
14,13.75,4.1841419359420025,62.68159384720045,5.056864166920207,3.723549249331133,14.242640687119284,105,115.49090909090908,132
15,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,105,113.22222222222223,126
16,9.75,3.523362819972964,-58.64138142495979,5.102284777358994,2.658188639339797,12.242640687119286,105,118.64102564102564,139
17,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,106,110.55555555555556,116
18,8.0,3.1915382432114616,0.06086655147329114,4.182834708553875,2.5426032527543545,10.121320343559642,105,111.53125,125
19,3.75,2.1850968611841584,90.00003218077504,2.8284271247461903,1.632993161855452,6.0,105,110.4,118
20,2087.75,51.557791453095,-9.303337600199091,73.58984899109863,41.85805305518702,312.4832790675602,105,152.22212908633696,210
21,5.5,2.6462837142006137,-55.7493001751818,3.6056746379176294,1.9260981821107823,7.82842712474619,106,116.72727272727273,131
22,17.25,4.686510657907603,-68.56194287816494,6.244039917439337,3.6390945862624733,15.828427124746192,107,122.3768115942029,145
23,4.5,2.393653682408596,-17.29615052823642,2.830663741437658,2.0244638534736237,6.707106781186548,106,112.5,120
24,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,106,115.44444444444444,125
25,12.75,4.029119531035698,58.36793484903647,5.105633580942564,3.2213273943509777,12.656854249492381,105,130.27450980392157,159
26,39.25,7.069275219628611,62.57613554214173,9.39678429686166,6.62222001714365,28.60660171779821,106,128.9936305732484,156
27,10.0,3.5682482323055424,79.49196321914778,5.210558706809292,2.8124860822578093,13.535533905932738,105,110.65,126
28,979.5,35.31484297102412,45.58551789237477,40.16264630066081,31.2499067506187,126.32590180780451,105,167.77947932618682,218
29,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,106,111.77777777777777,120
30,7478.75,97.58196680323726,-2.2993912999194506,145.93806062941658,84.63549149368566,797.9229252680993,105,156.49333110479694,226
31,42.5,7.356132180109627,-65.69950269492125,8.971862422105069,6.788078006175187,32.72792206135786,105,113.4,126
32,20.5,5.108953969950291,88.82165188707043,6.756334817571841,4.447700637761725,19.760407640085653,105,111.86585365853658,128
33,42.25,7.334464586120832,13.566376928504718,10.695661536894654,6.862860215515127,38.917261889578036,105,113.77514792899409,135
34,4.0,2.256758334191025,0.0,4.58257569495584,1.0,8.0,105,110.375,117
35,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,105,110.77777777777777,116
36,7842.0,99.92369343560688,-28.317848259830196,112.75149694804257,100.84509666815319,805.9082066423379,105,154.97083014537108,226
37,3.0,1.9544100476116797,90.00003218077504,2.23606797749979,1.632993161855452,5.0,105,110.0,115
38,554.5,26.570873669408158,31.773520802005898,27.352515769032948,26.34054931388087,99.96194077712559,105,151.95130748422002,212
39,1253.75,39.954024568392484,-85.61993331901442,75.44278575862442,23.360085359104673,182.49747468305833,105,160.59940179461614,204
40,720.0,30.277590264241923,90.00003218077504,110.84974815788561,8.640987597877148,205.0,255,255.0,255
41,29.0,6.076507779746499,0.7498272962377058,9.56790601364639,6.447243303489173,38.39949493661167,114,235.82758620689654,255
42,31.75,6.358093703724522,6.757648937648796,9.150038022940953,6.035116276459253,37.020815280171306,114,237.61417322834646,255
43,15.25,4.406461512053774,63.16452435279522,6.902833816395555,5.374290681203362,22.863961030678926,114,230.81967213114754,255
44,28.75,6.050259243299904,5.784757539285826,9.821560096435373,7.741710658903021,40.14213562373095,114,231.8695652173913,255
45,15.25,4.406461512053774,63.16452435279522,6.902833816395555,5.374290681203362,22.863961030678926,114,230.81967213114754,255
46,22.0,5.292567428401227,11.571180811952997,10.90023176795236,4.969954051366147,29.535533905932734,140,242.5340909090909,255
47,20.5,5.108953969950291,0.7426819052587045,10.351791035175083,3.7702260407795247,25.242640687119284,140,237.4268292682927,255
48,51.75,8.117274569709014,-88.06776099632465,14.77198156152924,9.843549718409495,68.64213562373095,140,237.47342995169083,255
49,58.5,8.63044108762739,-88.94880490954453,14.014537024675173,9.8950965671601,68.79898987322333,130,239.03418803418805,255
50,20.25,5.077706251929807,-3.950220831999789,9.705960927051935,3.8009566858993513,25.742640687119284,140,236.8148148148148,255
51,28.25,5.997417539138688,-4.846268732056704,10.400725009757478,8.909954932811727,39.74568901432422,128,231.5929203539823,255
52,39.75,7.1141599576634995,6.597744984925183,10.41542236970698,7.979135141320633,51.071067811865476,114,245.53459119496856,255
53,22.0,5.292567428401227,11.571180811952997,10.90023176795236,4.969954051366147,29.535533905932734,140,242.5340909090909,255
54,22.0,5.292567428401227,11.571180811952997,10.90023176795236,4.969954051366147,29.535533905932734,140,242.5340909090909,255
55,11.0,3.742410318509555,-26.481902999335592,8.107243962686885,1.7580606211558403,16.071067811865476,140,222.1818181818182,255
56,11.0,3.742410318509555,-26.481902999335592,8.107243962686885,1.7580606211558403,16.071067811865476,140,222.1818181818182,255
57,75.0,9.772050238058398,-85.96597410740023,19.138414415806185,8.806019676207347,91.8492424049175,114,234.20666666666668,255
58,12.0,3.9088200952233594,84.95944885530018,7.201045402541015,2.374081834096572,15.121320343559642,140,241.22916666666666,255
59,12.0,3.9088200952233594,84.95944885530018,7.201045402541015,2.374081834096572,15.121320343559642,140,241.22916666666666,255
60,34.25,6.6036697681803656,3.644642600483431,9.449397333699599,6.953684629420823,43.384776310850235,114,229.04379562043795,255
61,28.75,6.050259243299904,5.784757539285826,9.821560096435373,7.741710658903021,40.14213562373095,114,231.8695652173913,255
62,28.75,6.050259243299904,5.784757539285826,9.821560096435373,7.741710658903021,40.14213562373095,114,231.8695652173913,255
63,28.75,6.050259243299904,5.784757539285826,9.821560096435373,7.741710658903021,40.14213562373095,114,231.8695652173913,255
64,30.5,6.231677632421503,-1.0096249086218216,9.283430797552816,6.710135708529794,38.4350288425444,140,237.19672131147541,255
65,28.75,6.050259243299904,5.784757539285826,9.821560096435373,7.741710658903021,40.14213562373095,114,231.8695652173913,255
66,32.25,6.407961869245868,19.31480021814104,9.904839041324328,6.835314015523385,39.071067811865476,114,237.5503875968992,255
67,30.5,6.231677632421503,-1.0096249086218216,9.283430797552816,6.710135708529794,38.4350288425444,140,237.19672131147541,255
68,28.75,6.050259243299904,5.784757539285826,9.821560096435373,7.741710658903021,40.14213562373095,114,231.8695652173913,255
69,31.75,6.358093703724522,6.757648937648796,9.150038022940953,6.035116276459253,37.020815280171306,114,237.61417322834646,255
70,26.25,5.781222885281108,-10.69045869485746,10.761156342904483,5.9686071686098705,35.417261889578036,114,235.8,255
71,15.25,4.406461512053774,63.16452435279522,6.902833816395555,5.374290681203362,22.863961030678926,114,230.81967213114754,255
72,30.0,6.180387232371033,5.9366114218546215,11.03585218018309,6.996405425600375,41.656854249492376,114,236.48333333333332,255
73,22.0,5.292567428401227,11.571180811952997,10.90023176795236,4.969954051366147,29.535533905932734,140,242.5340909090909,255
74,11.0,3.742410318509555,17.957147973924886,6.0545944839631645,3.017672686803555,15.242640687119286,140,236.45454545454547,255
75,17.75,4.753945931439391,-24.226464523468994,10.790898950145964,2.897724850662499,23.48528137423857,140,235.2394366197183,255
76,31.75,6.358093703724522,22.70965858400198,11.042009155263463,7.080487690379959,37.53553390593274,140,230.31496062992127,255
77,11.0,3.742410318509555,17.957147973924886,6.0545944839631645,3.017672686803555,15.242640687119286,140,236.45454545454547,255
78,58.25,8.611980229936854,89.87616459548691,14.860889721797975,9.963858462246732,73.73097038856278,114,240.0343347639485,255
79,39.75,7.1141599576634995,6.597744984925183,10.41542236970698,7.979135141320633,51.071067811865476,114,245.53459119496856,255
80,35.75,6.746726148605861,-1.1841118759728777,10.208895496455344,9.153708803882393,46.520815280171306,140,233.92307692307693,255
81,28.25,5.997417539138688,-4.846268732056704,10.400725009757478,8.909954932811727,39.74568901432422,128,231.5929203539823,255
82,12.0,3.9088200952233594,-80.8550241962997,7.403170950914906,3.1089036803593486,16.949747468305834,167,238.375,255
83,88.25,10.600159896099592,89.06060513614945,19.658479871448765,9.868454571425415,105.33452377915606,114,240.3654390934844,255
84,81.25,10.171072362820547,88.9081257249833,18.427813744087,9.58995444073477,94.66295090390226,115,233.75384615384615,255
85,22.0,5.292567428401227,11.571180811952997,10.90023176795236,4.969954051366147,29.535533905932734,140,242.5340909090909,255
86,22.0,5.292567428401227,11.571180811952997,10.90023176795236,4.969954051366147,29.535533905932734,140,242.5340909090909,255
87,31.5,6.333012368467128,35.13126672648624,8.195303346742744,8.119898093903092,38.14213562373095,114,238.37301587301587,255
88,78.75,10.013371767186818,88.77175462490287,19.811860078441224,8.153428651244925,99.79898987322333,114,238.1873015873016,255
89,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,218,242.66666666666666,255
90,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,218,242.66666666666666,255
91,9.75,3.523362819972964,90.00003218077504,7.483314773547883,1.632993161855452,14.0,140,240.30769230769232,255
92,13.5,4.145929793656026,-85.85273852913424,8.188813591195949,3.3725448836100194,18.94974746830583,140,238.72222222222223,255
93,12.0,3.9088200952233594,84.95944885530018,7.201045402541015,2.374081834096572,15.121320343559642,140,241.22916666666666,255
94,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,218,242.66666666666666,255
95,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,218,242.66666666666666,255
96,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,206,240.66666666666666,255
97,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,206,240.66666666666666,255
98,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,179,230.0,255
